County FIPS Code ,County ,Year,Weekend_Hospital Admisison Per  day,Weekdays_Hospital Admisison Per day ,Total Population ,(0-17) years,(18-44) years,(45-64) years,(65+ years),"Disease Burden (Age Adjusted Death Rate Per 100,000)                                         ","SVI (mean of year 2010,2013,2016,2019)",Price Parity Index (2020),Hospital bed (2020)
12001,Alachua,2010,52,77,247614,47375,119899,56568,26859,762.5,0.272725,1.024673469,1713
12003,Baker,2010,6,10,27066,7412,9901,7170,2971,1002.5,0.363625,0.804662189,25
12005,Bay,2010,48,80,169206,39299,59907,47564,24648,841.2,0.4394,0.937384933,737
12007,Bradford,2010,7,11,28536,6141,10751,8020,4125,830.8,0.61745,1.108751987,5
12009,Brevard,2010,140,233,543965,106589,159811,165752,111213,739.6,0.106075,0.896785557,1907
12011,Broward,2010,479,720,1752803,400245,624502,486494,250263,672.4,0.5038,0.855038877,6442
12013,Calhoun,2010,2,5,14647,3349,5247,3995,2288,896,0.67045,1.320135864,25
12015,Charlotte,2010,49,84,159875,22322,33633,48531,54947,676.1,0.208325,0.988659974,715
12017,Citrus,2010,37,69,141173,21887,30950,42757,45151,801,0.321975,1.150959604,332
12019,Clay,2010,39,70,191451,49301,65493,53321,22563,795.5,0.162875,0.774490417,524
12021,Collier,2010,67,109,322581,64900,90263,83977,85712,511.2,0.318175,0.730980719,1059
12023,Columbia,2010,18,31,67553,16001,22920,19027,10440,921.8,0.67425,1.095087538,91
12027,DeSoto,2010,8,15,34934,8277,12512,8317,6283,631.8,0.75,0.991586656,49
12029,Dixie,2010,4,7,16400,3280,4957,5116,3205,720.9,0.443175,1.436734579,0
12031,Duval,2010,239,375,865628,218398,336838,228790,96733,864.2,0.424225,1.278372,3949
12033,Escambia,2010,78,128,298038,68436,110857,80029,43035,835.8,0.321975,0.912340746,1629
12035,Flagler,2010,20,34,96066,19144,25806,27588,23636,882.3,0.140175,1,99
12037,Franklin,2010,2,4,11522,2175,4159,3367,2015,674.3,0.64395,0.933980262,25
12039,Gadsden,2010,11,18,47794,11974,16649,13586,6377,906.5,0.7121,1.091589306,4
12041,Gilchrist,2010,4,6,17000,3665,5713,4757,2889,873.7,0.5985,1.229801213,0
12043,Glades,2010,1,3,12869,2568,4331,3353,2785,751.9,0.60605,1.166704858,0
12045,Gulf,2010,3,6,15825,2575,5883,4772,2616,696.5,0.3826,1.242526295,19
12047,Hamilton,2010,2,4,14683,2944,5753,4097,1963,741.8,0.7841,1.067131958,0
12049,Hardee,2010,6,11,27730,8264,10360,6127,3581,806.1,0.8674,1.320101636,25
12051,Hendry,2010,10,16,39009,11559,15003,8655,4499,747.7,0.85605,1.316245282,25
12053,Hernando,2010,54,89,172969,34130,45967,48259,44671,776.7,0.321975,1.247305243,740
12055,Highlands,2010,32,55,98635,18718,23902,24989,31844,798.3,0.7159,1.043083668,330
12057,Hillsborough,2010,296,473,1233498,306587,478401,314880,146216,721.5,0.488675,1.243588491,4539
12059,Holmes,2010,3,6,19843,4308,6665,5505,3428,735.3,0.5568,0.864666123,20
12061,Indian River,2010,36,60,138270,25895,35759,38951,37684,1087.9,0.196975,1.302107309,590
12063,Jackson,2010,9,15,49648,10114,17964,13992,7857,618,0.76515,0.930124224,100
12065,Jefferson,2010,3,5,14755,2921,4790,4760,2465,877.4,0.530325,1.276961276,0
12067,Lafayette,2010,1,2,8808,1887,3782,2151,1090,849.3,0.6818,1.077794242,0
12069,Lake,2010,97,156,297709,63510,84254,79558,72183,764.6,0.397725,1.014950663,867
12071,Lee,2010,151,250,620449,126040,183658,169595,146497,699.7,0.35985,0.933997395,2127
12073,Leon,2010,47,78,275971,57327,132537,63237,26254,610.5,0.393925,0.880394937,1208
12075,Levy,2010,12,18,40720,8819,11713,12469,7942,736.9,0.66665,0.958742892,0
12077,Liberty,2010,1,2,8349,1819,3421,2271,902,955.4,0.723475,1.364062584,0
12079,Madison,2010,3,6,19248,4357,6582,5440,3076,1047.3,0.738625,1.339339734,25
12081,Manatee,2010,73,124,323424,69257,92308,89381,75577,853.7,0.44695,1.374706375,895
12083,Marion,2010,91,147,331331,65633,91308,90417,85664,636.4,0.409125,0.862834483,1097
12085,Martin,2010,30,53,146909,25450,37251,43671,40212,771.7,0.0985,1.12219259,504
12086,Miami-Dade,2010,667,1045,2506972,567459,963641,643138,354206,572.2,0.833325,0.832856231,9454
12087,Monroe,2010,17,29,73220,11610,23751,25842,12605,733.7,0.22725,0.727014407,196
12089,Nassau,2010,15,28,73513,16092,22852,22688,12062,772.9,0.11745,0.727949902,62
12091,Okaloosa,2010,39,74,180715,42428,64907,50216,25368,761.6,0.29545,0.802923737,470
12093,Okeechobee,2010,13,24,40025,9888,13660,10004,6820,891,0.84845,1.219228927,100
12095,Orange,2010,302,465,1148564,282003,488615,278017,111946,689.3,0.61745,0.874017235,4819
12097,Osceola,2010,73,107,269837,70768,101427,67976,30004,694,0.719675,0.973909218,1107
12099,Palm Beach,2010,349,539,1323619,275741,418917,349786,286119,573.5,0.499975,0.804357099,4336
12101,Pasco,2010,127,209,465487,101011,142724,127664,96608,772.7,0.428025,0.963788143,1493
12103,Pinellas,2010,256,398,916412,164301,277049,282449,194694,742.6,0.325775,0.941301534,3939
12105,Polk,2010,182,283,603102,148078,198099,154670,108939,747,0.678025,1.006543571,1806
12107,Putnam,2010,21,36,74220,17522,21720,21745,14068,1003.1,0.844675,1.351606053,99
12109,St. Johns,2010,37,65,191249,43073,59318,57838,30147,634.1,0.257575,0.619012304,335
12111,St. Lucie,2010,67,116,278264,63823,86291,74418,55662,683.4,0.405325,0.973108826,851
12113,Santa Rosa,2010,32,57,152908,36752,53192,43817,19616,794.3,0.2841,0.749311984,355
12115,Sarasota,2010,78,142,379930,59169,91462,110105,118723,599.2,0.1932,0.818095636,1542
12117,Seminole,2010,93,145,423051,95056,156279,118865,51083,658.1,0.54925,0.7625659,954
12119,Sumter,2010,26,45,94278,8676,17324,27137,41330,603.1,0.30305,0.88971796,347
12121,Suwannee,2010,9,15,42328,9856,13366,11647,7908,817.9,0.863625,1.064299003,2
12123,Taylor,2010,4,9,22595,4730,8011,6586,3568,828.7,0.708325,1.263211433,48
12125,Union,2010,4,10,15542,3130,6013,4935,1582,1374.2,0.731075,1.150101649,25
12127,Volusia,2010,133,205,494440,94647,151842,145085,104591,795.4,0.458325,1.028710551,1582
12129,Wakulla,2010,5,9,30825,6997,11530,9043,3363,802.3,0.4053,0.829099495,0
12131,Walton,2010,12,22,55217,12156,18269,16614,9023,799.4,0.5189,0.876439502,136
12133,Washington,2010,4,9,24720,5422,8720,6928,3823,1070.6,0.696975,1.375263357,59
12001,Alachua,2011,52,80,249834,48341,120988,56605,27572,761.3,0.272725,,
12003,Baker,2011,7,11,27049,7371,9850,7142,3065,932.8,0.363625,,
12005,Bay,2011,46,81,169555,38919,59617,48019,25190,815.9,0.4394,,
12007,Bradford,2011,8,12,28431,6090,10698,7951,4220,831.3,0.61745,,
12009,Brevard,2011,145,235,544359,105065,158784,166817,113314,746,0.106075,,
12011,Broward,2011,473,706,1786980,405533,638057,498331,255482,656.5,0.5038,,
12013,Calhoun,2011,3,5,14717,3305,5285,3968,2329,934.3,0.67045,,
12015,Charlotte,2011,48,80,159869,21884,33193,48222,56138,644.5,0.208325,,
12017,Citrus,2011,37,67,139764,21334,30429,41951,45722,825.1,0.321975,,
12019,Clay,2011,43,73,192314,48290,65501,54086,23427,854.4,0.162875,,
12021,Collier,2011,67,111,327629,65038,91052,84810,89150,514.4,0.318175,,
12023,Columbia,2011,19,33,67317,15728,22845,18959,10623,946.7,0.67425,,
12027,DeSoto,2011,8,13,34845,8067,12425,8340,6445,631.9,0.75,,
12029,Dixie,2011,4,7,16406,3360,4884,5073,3293,711.5,0.443175,,
12031,Duval,2011,244,391,872355,219414,338576,231500,99280,966.8,0.424225,,
12033,Escambia,2011,79,129,299401,68470,111317,80673,43527,872.4,0.321975,,
12035,Flagler,2011,20,34,97462,18944,25900,28003,24612,871.1,0.140175,,
12037,Franklin,2011,2,3,11472,2100,4111,3373,2064,692.5,0.64395,,
12039,Gadsden,2011,12,19,47373,11673,16563,13498,6466,866.4,0.7121,,
12041,Gilchrist,2011,4,6,16994,3634,5654,4745,2981,908.2,0.5985,,
12043,Glades,2011,1,2,12837,2504,4299,3311,2857,835.8,0.60605,,
12045,Gulf,2011,4,6,15764,2561,5847,4726,2682,553.9,0.3826,,
12047,Hamilton,2011,3,5,14595,2960,5656,4074,2028,804.3,0.7841,,
12049,Hardee,2011,6,11,27684,8139,10248,6186,3671,863.6,0.8674,,
12051,Hendry,2011,10,16,38972,11475,14917,8759,4565,749.1,0.85605,,
12053,Hernando,2011,54,88,172847,33692,45720,48140,45114,707.4,0.321975,,
12055,Highlands,2011,29,52,98477,18620,23964,24729,31989,825.6,0.7159,,
12057,Hillsborough,2011,308,484,1255503,310118,482127,326788,150571,641.1,0.488675,,
12059,Holmes,2011,3,5,19838,4335,6673,5485,3455,741.4,0.5568,,
12061,Indian River,2011,38,60,139103,25666,35671,39189,38519,949.8,0.196975,,
12063,Jackson,2011,8,14,49197,9858,17767,13839,8014,647.6,0.76515,,
12065,Jefferson,2011,3,5,14529,2881,4615,4683,2531,953.6,0.530325,,
12067,Lafayette,2011,1,2,8798,1857,3746,2139,1126,917.9,0.6818,,
12069,Lake,2011,98,154,300505,63507,84742,80097,73851,941.3,0.397725,,
12071,Lee,2011,154,253,631053,126462,184475,172311,152546,682.7,0.35985,,
12073,Leon,2011,49,81,278371,57171,133895,63363,27254,612.4,0.393925,,
12075,Levy,2011,12,18,40151,8512,11424,12340,8111,721,0.66665,,
12077,Liberty,2011,1,3,8264,1747,3355,2254,927,954.3,0.723475,,
12079,Madison,2011,3,6,19130,4221,6590,5418,3114,1014.6,0.738625,,
12081,Manatee,2011,77,124,327549,69185,93062,90217,77862,918.1,0.44695,,
12083,Marion,2011,88,144,332286,65111,91633,90276,87044,646.2,0.409125,,
12085,Martin,2011,30,54,147871,25374,37291,43844,40989,793.9,0.0985,,
12086,Miami-Dade,2011,681,1054,2544531,572601,972860,661007,362814,571.7,0.833325,,
12087,Monroe,2011,16,27,73967,11982,23893,25731,13065,680.3,0.22725,,
12089,Nassau,2011,16,29,74148,15994,22819,22821,12620,815.2,0.11745,,
12091,Okaloosa,2011,41,74,183102,43652,66035,50423,25838,786.4,0.29545,,
12093,Okeechobee,2011,13,23,39869,9748,13637,9959,6872,782.9,0.84845,,
12095,Orange,2011,303,461,1170579,284849,495884,285736,116288,692.6,0.61745,,
12097,Osceola,2011,75,111,278636,72693,104920,69882,31724,698.7,0.719675,,
12099,Palm Beach,2011,359,545,1336760,275814,420859,355479,291135,568.4,0.499975,,
12101,Pasco,2011,137,219,466464,99697,142339,128625,97937,787.5,0.428025,,
12103,Pinellas,2011,248,392,918455,163869,276396,283929,197225,730.6,0.325775,,
12105,Polk,2011,178,276,609948,147431,201076,156456,111287,745.9,0.678025,,
12107,Putnam,2011,21,36,73652,17254,21370,21629,14253,960.3,0.844675,,
12109,St. Johns,2011,37,67,196106,43414,60323,59425,31799,624.4,0.257575,,
12111,St. Lucie,2011,70,118,280416,63053,86250,75374,57359,680.7,0.405325,,
12113,Santa Rosa,2011,34,59,155738,36693,54497,44669,20269,869.8,0.2841,,
12115,Sarasota,2011,82,141,382226,58996,91268,110358,121294,591,0.1932,,
12117,Seminole,2011,94,147,426334,94071,157083,120454,53086,655.8,0.54925,,
12119,Sumter,2011,27,45,97975,8730,17493,27343,44635,645.2,0.30305,,
12121,Suwannee,2011,10,17,43368,10047,13978,11849,8022,896.3,0.863625,,
12123,Taylor,2011,4,9,22662,4755,8040,6549,3658,854.4,0.708325,,
12125,Union,2011,5,10,15302,3038,5849,4827,1659,1251.8,0.731075,,
12127,Volusia,2011,129,200,494464,93559,150995,145552,106087,774.9,0.458325,,
12129,Wakulla,2011,5,10,30973,6982,11511,9137,3518,958.3,0.4053,,
12131,Walton,2011,11,21,55602,11982,18063,16875,9401,787.6,0.5189,,
12133,Washington,2011,4,9,24510,5271,8515,6927,3882,956.6,0.696975,,
12001,Alachua,2012,55,83,251520,49130,121205,56348,29072,752.3,0.272725,,
12003,Baker,2012,6,11,27053,7219,9796,7140,3230,1009.8,0.363625,,
12005,Bay,2012,49,82,171757,39488,60150,48098,26443,825.9,0.4394,,
12007,Bradford,2012,8,12,27051,6001,9579,7565,4374,871.6,0.61745,,
12009,Brevard,2012,148,236,546966,104712,158677,165964,117691,743.7,0.106075,,
12011,Broward,2012,477,698,1814253,408101,647316,505027,265654,653.1,0.5038,,
12013,Calhoun,2012,3,5,14665,3268,5213,3962,2378,783.8,0.67045,,
12015,Charlotte,2012,49,83,162744,21900,34350,47501,58653,605.4,0.208325,,
12017,Citrus,2012,42,70,139180,21115,30035,40764,47047,817.7,0.321975,,
12019,Clay,2012,44,72,193861,47467,65838,54244,25069,809.8,0.162875,,
12021,Collier,2012,71,112,332233,64930,91407,84492,93664,493.4,0.318175,,
12023,Columbia,2012,19,33,67884,15676,23174,18810,11054,916.5,0.67425,,
12027,DeSoto,2012,7,13,35005,7867,12413,8342,6745,631.5,0.75,,
12029,Dixie,2012,5,7,16153,3261,4759,4884,3425,647.9,0.443175,,
12031,Duval,2012,249,390,880108,220191,340510,231727,104576,913.3,0.424225,,
12033,Escambia,2012,82,132,303423,68811,113893,80180,45280,853.9,0.321975,,
12035,Flagler,2012,21,36,98434,18563,25772,27841,26081,895.7,0.140175,,
12037,Franklin,2012,2,4,11612,2094,4180,3312,2177,710.3,0.64395,,
12039,Gadsden,2012,11,18,46574,11487,16036,13186,6683,819.7,0.7121,,
12041,Gilchrist,2012,4,6,16897,3546,5600,4671,3094,882.9,0.5985,,
12043,Glades,2012,1,2,12669,2275,4196,3287,2910,892.2,0.60605,,
12045,Gulf,2012,4,7,15770,2519,5866,4650,2791,574.6,0.3826,,
12047,Hamilton,2012,3,5,14721,2892,5736,4052,2142,1055.6,0.7841,,
12049,Hardee,2012,6,11,27439,7898,10063,6105,3766,897.6,0.8674,,
12051,Hendry,2012,10,15,37870,11467,13953,8557,4716,695.3,0.85605,,
12053,Hernando,2012,60,89,172718,32727,45791,47567,46120,701.5,0.321975,,
12055,Highlands,2012,31,51,98222,18361,23972,24005,32556,803.9,0.7159,,
12057,Hillsborough,2012,314,481,1279639,313194,491317,330726,159010,713.9,0.488675,,
12059,Holmes,2012,3,5,19697,4149,6619,5464,3542,753.9,0.5568,,
12061,Indian River,2012,38,62,140473,25522,35813,39028,40032,1014.8,0.196975,,
12063,Jackson,2012,8,14,49109,9507,17903,13650,8266,616.9,0.76515,,
12065,Jefferson,2012,2,5,14219,2721,4438,4530,2688,810.3,0.530325,,
12067,Lafayette,2012,1,2,8791,1882,3700,2111,1184,743.1,0.6818,,
12069,Lake,2012,97,154,303725,62907,85447,79737,76995,834,0.397725,,
12071,Lee,2012,152,249,644197,127314,187469,172315,161572,665.6,0.35985,,
12073,Leon,2012,49,81,283620,56746,137094,63775,29095,575.5,0.393925,,
12075,Levy,2012,12,17,39823,8406,11173,12023,8451,775.3,0.66665,,
12077,Liberty,2012,1,3,8301,1662,3406,2255,973,905.5,0.723475,,
12079,Madison,2012,3,5,18972,4035,6493,5370,3245,836.1,0.738625,,
12081,Manatee,2012,81,127,333844,69436,94440,90592,81785,907.8,0.44695,,
12083,Marion,2012,92,147,333873,65152,92124,88862,89652,614.6,0.409125,,
12085,Martin,2012,30,51,148981,25251,37389,43379,42452,770.8,0.0985,,
12086,Miami-Dade,2012,682,1040,2576554,575084,979898,673913,374754,562.7,0.833325,,
12087,Monroe,2012,16,28,74560,12166,23875,25305,14044,640.1,0.22725,,
12089,Nassau,2012,17,30,74519,15737,22746,22462,13580,731.9,0.11745,,
12091,Okaloosa,2012,42,72,189762,46208,70202,50080,26889,765.9,0.29545,,
12093,Okeechobee,2012,15,25,39710,9509,13540,9928,7088,859.1,0.84845,,
12095,Orange,2012,313,468,1202498,290306,508350,293812,123275,700.6,0.61745,,
12097,Osceola,2012,78,115,288876,75164,109482,71132,34041,706.9,0.719675,,
12099,Palm Beach,2012,362,542,1354936,276555,426555,357029,301138,566.6,0.499975,,
12101,Pasco,2012,146,221,469637,99598,142526,127984,101530,768.7,0.428025,,
12103,Pinellas,2012,254,392,921642,163196,276247,281214,204203,713.5,0.325775,,
12105,Polk,2012,185,281,615453,146485,202273,155938,116057,747.9,0.678025,,
12107,Putnam,2012,20,35,72927,16942,21074,21165,14644,882.8,0.844675,,
12109,St. Johns,2012,39,65,202066,43878,61932,60596,34352,637.8,0.257575,,
12111,St. Lucie,2012,78,123,282931,62457,86233,75350,60123,665.3,0.405325,,
12113,Santa Rosa,2012,35,58,158190,36829,55557,44750,21478,802,0.2841,,
12115,Sarasota,2012,86,141,386437,59131,91602,109315,126071,583.3,0.1932,,
12117,Seminole,2012,97,147,430537,93926,158052,120652,56599,660.5,0.54925,,
12119,Sumter,2012,29,49,101669,8583,17482,26765,49087,565.5,0.30305,,
12121,Suwannee,2012,11,17,43534,9816,14089,11738,8317,898.8,0.863625,,
12123,Taylor,2012,4,8,22758,4729,8152,6403,3839,915.2,0.708325,,
12125,Union,2012,5,10,15255,3027,5813,4694,1804,1147.5,0.731075,,
12127,Volusia,2012,131,201,496535,93024,150828,144267,110057,787.4,0.458325,,
12129,Wakulla,2012,6,10,30859,6882,11416,8990,3775,858.9,0.4053,,
12131,Walton,2012,12,21,57190,12466,18470,17119,9980,761.2,0.5189,,
12133,Washington,2012,5,8,24741,5205,8712,6934,3974,857.3,0.696975,,
12001,Alachua,2013,57,82,252475,49521,120902,55812,30418,764.8,0.272725,,
12003,Baker,2013,6,10,27009,6935,9726,7151,3370,925.2,0.363625,,
12005,Bay,2013,50,79,174596,40391,61262,48163,27522,889.2,0.4394,,
12007,Bradford,2013,7,11,26802,5869,9365,7465,4480,855.3,0.61745,,
12009,Brevard,2013,152,239,550255,104147,159532,165639,121091,747.4,0.106075,,
12011,Broward,2013,480,695,1836600,412070,652977,509341,274686,636.2,0.5038,,
12013,Calhoun,2013,2,5,14578,3161,5145,3926,2425,820,0.67045,,
12015,Charlotte,2013,50,80,164671,21650,34506,47280,60881,623.6,0.208325,,
12017,Citrus,2013,43,69,138829,21130,29915,39906,47905,789.6,0.321975,,
12019,Clay,2013,46,74,195657,46839,66215,54636,26521,830.4,0.162875,,
12021,Collier,2013,67,106,338987,64869,92434,85924,97801,465.5,0.318175,,
12023,Columbia,2013,21,32,67417,15296,22868,18549,11365,961.6,0.67425,,
12027,DeSoto,2013,6,12,34905,7655,12379,8305,6925,605.3,0.75,,
12029,Dixie,2013,5,7,16084,3233,4692,4802,3543,662.6,0.443175,,
12031,Duval,2013,259,390,885943,220409,341423,231716,109102,946.4,0.424225,,
12033,Escambia,2013,83,129,306694,69270,116248,79432,46544,870,0.321975,,
12035,Flagler,2013,23,36,99798,18316,26062,27905,27233,890.1,0.140175,,
12037,Franklin,2013,2,4,11521,2060,4106,3230,2256,704.3,0.64395,,
12039,Gadsden,2013,11,17,46087,11069,15704,13049,6870,874.6,0.7121,,
12041,Gilchrist,2013,4,6,16957,3513,5610,4672,3197,932.9,0.5985,,
12043,Glades,2013,1,2,12670,2196,4205,3285,3006,810.8,0.60605,,
12045,Gulf,2013,3,6,15884,2516,5885,4687,2851,624.5,0.3826,,
12047,Hamilton,2013,3,5,14342,2812,5469,3938,2219,764.6,0.7841,,
12049,Hardee,2013,6,10,27311,7790,9922,6078,3906,875.8,0.8674,,
12051,Hendry,2013,9,15,37809,11318,13777,8614,4859,620.9,0.85605,,
12053,Hernando,2013,59,86,173639,32314,46102,47441,47085,785.8,0.321975,,
12055,Highlands,2013,29,49,98077,18118,23914,23659,32981,783.8,0.7159,,
12057,Hillsborough,2013,319,480,1304131,316323,500975,335393,165952,706.3,0.488675,,
12059,Holmes,2013,3,5,19594,4031,6594,5397,3616,753.5,0.5568,,
12061,Indian River,2013,37,59,141895,25591,35886,38966,41544,983.7,0.196975,,
12063,Jackson,2013,8,14,48880,9502,17678,13502,8506,636.1,0.76515,,
12065,Jefferson,2013,2,5,14209,2674,4420,4490,2786,886.6,0.530325,,
12067,Lafayette,2013,1,2,8819,1895,3667,2121,1202,756.3,0.6818,,
12069,Lake,2013,100,151,307973,62980,86754,80208,79259,839.4,0.397725,,
12071,Lee,2013,160,248,659834,128727,190342,175140,169988,691.2,0.35985,,
12073,Leon,2013,48,81,281887,56408,135755,62015,30629,583.9,0.393925,,
12075,Levy,2013,12,19,39433,8155,11045,11762,8686,747,0.66665,,
12077,Liberty,2013,1,2,8357,1625,3438,2244,1011,861.8,0.723475,,
12079,Madison,2013,3,6,18753,3949,6374,5274,3300,663.3,0.738625,,
12081,Manatee,2013,82,128,341855,69818,96039,92498,85494,923.7,0.44695,,
12083,Marion,2013,94,147,335083,64995,92003,88247,91714,614.8,0.409125,,
12085,Martin,2013,34,54,151126,25308,38117,43470,43689,808.2,0.0985,,
12086,Miami-Dade,2013,687,1036,2609692,573654,991282,685086,386640,616.9,0.833325,,
12087,Monroe,2013,16,29,75813,12246,24492,25281,14707,657,0.22725,,
12089,Nassau,2013,17,30,75384,15569,22837,22599,14272,802.2,0.11745,,
12091,Okaloosa,2013,43,73,192688,46757,71797,50027,27950,777,0.29545,,
12093,Okeechobee,2013,16,27,39482,9231,13221,9938,7368,856.6,0.84845,,
12095,Orange,2013,321,465,1227435,294735,517222,299399,129928,683.2,0.61745,,
12097,Osceola,2013,82,117,299238,77148,113991,72997,36057,726.1,0.719675,,
12099,Palm Beach,2013,364,537,1376462,278595,432415,362294,309663,568.3,0.499975,,
12101,Pasco,2013,147,214,474352,99255,143484,128742,104287,759,0.428025,,
12103,Pinellas,2013,259,388,928414,163202,278141,280995,209463,706.6,0.325775,,
12105,Polk,2013,191,279,622633,146730,204192,156157,120100,739.2,0.678025,,
12107,Putnam,2013,21,34,72370,16521,20895,20745,14895,908.2,0.844675,,
12109,St. Johns,2013,40,68,209439,45340,64143,62014,36752,622.5,0.257575,,
12111,St. Lucie,2013,86,127,285299,61355,86122,76040,62504,665.3,0.405325,,
12113,Santa Rosa,2013,34,57,160392,36891,56390,44949,22562,830.8,0.2841,,
12115,Sarasota,2013,90,144,389941,58945,91753,108665,130339,577.5,0.1932,,
