County FIPS Code ,County ,Year,Weekend_Hospital Admisison Per  day,Weekdays_Hospital Admisison Per day ,Total Population ,(0-17) years,(18-44) years,(45-64) years,(65+ years),"Disease Burden (Age Adjusted Death Rate Per 100,000)                                         ","SVI (mean of year 2010,2013,2016,2019)",Price Parity Index (2020),Hospital bed (2020)
12117,Seminole,2013,96,146,435503,94078,160006,121209,59379,638,0.54925,,
12119,Sumter,2013,30,50,106898,8682,17824,26769,53952,579.3,0.30305,,
12121,Suwannee,2013,11,17,43588,9693,14170,11600,8465,855,0.863625,,
12123,Taylor,2013,4,8,22873,4731,8200,6348,3951,834.3,0.708325,,
12125,Union,2013,4,9,15160,2971,5769,4622,1887,1494.1,0.731075,,
12127,Volusia,2013,130,202,500438,92744,151653,144176,113623,784.5,0.458325,,
12129,Wakulla,2013,6,10,31004,6614,11539,8938,4006,907.6,0.4053,,
12131,Walton,2013,13,22,59193,12980,19073,17427,10622,786.8,0.5189,,
12133,Washington,2013,5,8,24504,5062,8609,6834,4031,896.5,0.696975,,
12001,Alachua,2014,60,87,255456,50124,121729,55783,31913,751.5,0.272725,,
12003,Baker,2014,7,10,27122,6914,9678,7203,3492,835.8,0.363625,,
12005,Bay,2014,51,80,178289,41217,62575,48730,28513,922.2,0.4394,,
12007,Bradford,2014,7,12,26552,5713,9293,7258,4597,812.9,0.61745,,
12009,Brevard,2014,161,244,555548,104468,160157,166394,124920,749.9,0.106075,,
12011,Broward,2014,486,700,1860933,418016,658531,514869,283821,631.5,0.5038,,
12013,Calhoun,2014,3,5,14450,3051,5092,3881,2456,946.2,0.67045,,
12015,Charlotte,2014,51,84,168041,21597,34869,47734,63429,648.2,0.208325,,
12017,Citrus,2014,46,71,138828,21095,29861,39217,48801,864.3,0.321975,,
12019,Clay,2014,48,79,198570,46943,67045,55350,27808,781.5,0.162875,,
12021,Collier,2014,67,105,347211,65590,93811,87621,102217,467.5,0.318175,,
12023,Columbia,2014,22,33,67779,15512,22893,18386,11659,927.5,0.67425,,
12027,DeSoto,2014,6,12,35338,7518,12528,8377,7197,599.4,0.75,,
12029,Dixie,2014,5,7,16041,3169,4657,4690,3654,602,0.443175,,
12031,Duval,2014,278,405,896668,222332,344824,232985,113594,1017.1,0.424225,,
12033,Escambia,2014,88,131,307960,69324,116264,79362,47858,830.4,0.321975,,
12035,Flagler,2014,24,38,101889,18176,26392,28336,28655,893.7,0.140175,,
12037,Franklin,2014,2,4,11661,2032,4191,3174,2359,719.9,0.64395,,
12039,Gadsden,2014,13,17,46114,10760,15633,13115,7122,1014.6,0.7121,,
12041,Gilchrist,2014,5,7,16991,3529,5601,4651,3278,810.9,0.5985,,
12043,Glades,2014,1,2,12943,2140,4240,3303,3219,846.7,0.60605,,
12045,Gulf,2014,4,6,16002,2523,5865,4698,2961,452.6,0.3826,,
12047,Hamilton,2014,3,5,14071,2815,5248,3839,2267,965.6,0.7841,,
12049,Hardee,2014,7,10,27266,7693,9882,6054,4013,962.2,0.8674,,
12051,Hendry,2014,10,15,38474,11366,14038,8795,4977,751.2,0.85605,,
12053,Hernando,2014,61,87,175298,32281,46610,47719,48106,758.8,0.321975,,
12055,Highlands,2014,29,45,98584,18078,23972,23520,33695,759.2,0.7159,,
12057,Hillsborough,2014,333,493,1332298,320248,510893,342286,173677,674.1,0.488675,,
12059,Holmes,2014,2,4,19564,3978,6567,5331,3674,738.4,0.5568,,
12061,Indian River,2014,38,62,144445,25548,36122,39458,43409,949,0.196975,,
12063,Jackson,2014,8,14,48730,9335,17555,13351,8676,677.2,0.76515,,
12065,Jefferson,2014,3,5,14056,2579,4305,4428,2857,890.4,0.530325,,
12067,Lafayette,2014,1,2,8862,1854,3678,2124,1237,738.5,0.6818,,
12069,Lake,2014,107,158,315340,63639,88902,81810,82108,631.6,0.397725,,
12071,Lee,2014,172,263,677232,129901,194033,178059,179207,699.3,0.35985,,
12073,Leon,2014,53,82,283770,56182,136003,61873,32302,591.7,0.393925,,
12075,Levy,2014,13,17,39296,8041,10918,11540,8965,706.3,0.66665,,
12077,Liberty,2014,1,2,8418,1582,3488,2266,1063,909.3,0.723475,,
12079,Madison,2014,3,6,18601,3767,6283,5246,3388,964.1,0.738625,,
12081,Manatee,2014,84,131,350865,70119,98021,94971,89613,1003.7,0.44695,,
12083,Marion,2014,98,151,338005,65534,92568,88006,93964,635.5,0.409125,,
12085,Martin,2014,38,58,153119,25460,38350,43924,44965,779.3,0.0985,,
12086,Miami-Dade,2014,706,1048,2634269,576073,993004,696731,397050,589.2,0.833325,,
12087,Monroe,2014,16,27,76261,12505,24334,25088,15354,659.3,0.22725,,
12089,Nassau,2014,18,30,76250,15516,22904,22655,15160,787.6,0.11745,,
12091,Okaloosa,2014,44,72,194615,47410,72103,50134,29001,797.4,0.29545,,
12093,Okeechobee,2014,16,26,39569,9220,13242,9952,7513,845.8,0.84845,,
12095,Orange,2014,336,473,1256606,299923,527780,306223,136388,666.4,0.61745,,
12097,Osceola,2014,86,122,311046,79569,118757,75568,38222,703.7,0.719675,,
12099,Palm Beach,2014,377,557,1398656,281222,438193,367323,318636,575.1,0.499975,,
12101,Pasco,2014,147,213,483399,100515,146095,130579,107486,761.7,0.428025,,
12103,Pinellas,2014,277,394,936400,163731,279468,282025,215051,712,0.325775,,
12105,Polk,2014,198,287,634398,148392,208415,157867,124096,756.4,0.678025,,
12107,Putnam,2014,22,35,71971,16167,20653,20451,15265,946.4,0.844675,,
12109,St. Johns,2014,44,72,217836,46886,66862,63641,39370,654.5,0.257575,,
12111,St. Lucie,2014,93,134,290045,61269,87007,77343,65088,687.5,0.405325,,
12113,Santa Rosa,2014,35,57,162668,37159,56832,45442,23618,760.5,0.2841,,
12115,Sarasota,2014,89,147,396363,58969,92619,109543,135042,586,0.1932,,
12117,Seminole,2014,99,145,441399,94531,161701,122290,62227,658.1,0.54925,,
12119,Sumter,2014,32,53,112236,8871,17912,26978,58912,600.8,0.30305,,
12121,Suwannee,2014,11,17,43786,9632,14200,11535,8683,952.9,0.863625,,
12123,Taylor,2014,4,8,22584,4697,7968,6202,4045,853.5,0.708325,,
12125,Union,2014,4,6,15258,3071,5810,4541,1978,1467.1,0.731075,,
12127,Volusia,2014,136,204,506715,93241,153042,144945,117171,795.3,0.458325,,
12129,Wakulla,2014,6,10,31416,6599,11578,9083,4193,892.2,0.4053,,
12131,Walton,2014,13,21,61186,13360,19575,17960,11198,773.8,0.5189,,
12133,Washington,2014,4,7,24299,4889,8581,6741,4114,934.5,0.696975,,
12001,Alachua,2015,60,88,259052,50919,123187,55751,33472,746.3,0.272725,,
12003,Baker,2015,7,11,27355,6820,9718,7285,3623,909,0.363625,,
12005,Bay,2015,52,80,181488,42335,63659,49127,29400,877.3,0.4394,,
12007,Bradford,2015,8,12,26748,5727,9424,7212,4696,855.2,0.61745,,
12009,Brevard,2015,159,245,565746,106534,162306,168914,128876,760.2,0.106075,,
12011,Broward,2015,494,717,1885040,421877,663167,522061,293336,634.4,0.5038,,
12013,Calhoun,2015,3,5,14406,3061,5007,3863,2510,876.2,0.67045,,
12015,Charlotte,2015,50,81,172382,21933,35538,48563,66110,663.9,0.208325,,
12017,Citrus,2015,47,72,140287,21019,30042,39471,49806,842.1,0.321975,,
12019,Clay,2015,53,81,202392,47264,67933,56541,29180,821.7,0.162875,,
12021,Collier,2015,69,108,356041,65923,94765,89993,107197,467.6,0.318175,,
12023,Columbia,2015,21,32,68222,15627,22864,18415,11991,868.7,0.67425,,
12027,DeSoto,2015,7,12,35648,7329,12568,8511,7420,593.9,0.75,,
12029,Dixie,2015,5,7,16353,3094,4820,4714,3760,726.6,0.443175,,
12031,Duval,2015,286,415,910578,225437,349283,235539,118418,979.3,0.424225,,
12033,Escambia,2015,86,134,309311,69575,116187,79350,49085,837.8,0.321975,,
12035,Flagler,2015,26,40,104436,18145,26735,28940,30157,900.4,0.140175,,
12037,Franklin,2015,2,4,11707,2050,4095,3202,2476,676.6,0.64395,,
12039,Gadsden,2015,13,19,46060,10599,15467,13066,7359,809,0.7121,,
12041,Gilchrist,2015,5,7,17378,3665,5681,4723,3390,834,0.5985,,
12043,Glades,2015,1,2,13099,2017,4268,3317,3371,842,0.60605,,
12045,Gulf,2015,3,6,15929,2512,5709,4676,3067,673.6,0.3826,,
12047,Hamilton,2015,3,5,14272,2858,5363,3832,2328,823.7,0.7841,,
12049,Hardee,2015,6,10,27177,7565,9738,6095,4110,847,0.8674,,
12051,Hendry,2015,10,16,39248,11330,14326,9072,5137,654.7,0.85605,,
12053,Hernando,2015,60,88,177900,32567,47319,48286,49228,720,0.321975,,
12055,Highlands,2015,28,47,100137,18217,24293,23866,34512,794.3,0.7159,,
12057,Hillsborough,2015,356,516,1364073,326873,520688,350494,181834,622.5,0.488675,,
12059,Holmes,2015,2,4,19273,3874,6363,5297,3746,741.1,0.5568,,
12061,Indian River,2015,40,62,147434,25670,36607,39824,45556,1021.1,0.196975,,
12063,Jackson,2015,8,15,48609,9263,17422,13226,8849,649.5,0.76515,,
12065,Jefferson,2015,4,6,14115,2548,4278,4382,2981,923.9,0.530325,,
12067,Lafayette,2015,1,2,8724,1742,3561,2140,1261,753.3,0.6818,,
12069,Lake,2015,106,159,325154,65307,91634,84212,84964,733.2,0.397725,,
12071,Lee,2015,179,269,699644,132429,198900,182956,189346,720.4,0.35985,,
12073,Leon,2015,58,87,285904,56413,136249,61748,34053,600.3,0.393925,,
12075,Levy,2015,12,18,39601,8067,10962,11527,9266,681.2,0.66665,,
12077,Liberty,2015,1,2,8409,1583,3449,2254,1097,920.6,0.723475,,
12079,Madison,2015,4,6,18478,3754,6202,5146,3510,718.9,0.738625,,
12081,Manatee,2015,89,137,362548,71585,100424,98161,94333,935.6,0.44695,,
12083,Marion,2015,99,152,342182,66551,93588,88177,96172,647,0.409125,,
12085,Martin,2015,37,59,155559,25783,38575,44618,46191,800.5,0.0985,,
12086,Miami-Dade,2015,696,1052,2659839,581854,993110,707255,408623,567.1,0.833325,,
12087,Monroe,2015,18,28,76648,12642,24338,24879,15907,738.9,0.22725,,
12089,Nassau,2015,20,31,77951,15855,23183,23034,15979,757.4,0.11745,,
12091,Okaloosa,2015,44,72,197748,48197,73626,50323,29942,852.3,0.29545,,
12093,Okeechobee,2015,16,24,39854,9189,13243,10068,7740,823.8,0.84845,,
12095,Orange,2015,338,478,1291301,307229,541267,314623,142966,688.5,0.61745,,
12097,Osceola,2015,94,128,323736,82235,123716,78369,40588,701.1,0.719675,,
12099,Palm Beach,2015,384,571,1424256,285235,444522,374679,327262,587.4,0.499975,,
12101,Pasco,2015,158,225,494895,102745,149070,133476,110746,773.5,0.428025,,
12103,Pinellas,2015,299,417,947060,164191,281830,284081,221499,705.3,0.325775,,
12105,Polk,2015,205,291,648523,150868,212837,160563,128513,772.8,0.678025,,
12107,Putnam,2015,21,36,71939,16208,20467,20298,15629,925.3,0.844675,,
12109,St. Johns,2015,46,75,226362,48857,68856,65638,42045,666,0.257575,,
12111,St. Lucie,2015,96,139,297282,61920,88802,79401,67993,678.8,0.405325,,
12113,Santa Rosa,2015,34,57,166226,37449,57930,46405,24760,776.8,0.2841,,
12115,Sarasota,2015,92,151,404761,59839,93650,111106,140211,610.5,0.1932,,
12117,Seminole,2015,103,149,448318,95816,163493,124027,64722,662.7,0.54925,,
12119,Sumter,2015,32,54,117076,8983,18167,26813,63596,622.6,0.30305,,
12121,Suwannee,2015,12,17,43677,9469,14055,11522,8821,924.6,0.863625,,
12123,Taylor,2015,4,8,22355,4625,7835,6090,4092,863.7,0.708325,,
12125,Union,2015,4,7,15265,3094,5787,4512,2023,1567.6,0.731075,,
12127,Volusia,2015,142,213,516730,94965,155594,146838,121342,814,0.458325,,
12129,Wakulla,2015,6,11,31523,6711,11381,9102,4387,828.5,0.4053,,
12131,Walton,2015,13,21,63066,13946,19920,18464,11811,730.5,0.5189,,
12133,Washington,2015,5,7,24552,4928,8676,6764,4196,953.2,0.696975,,
12001,Alachua,2016,64,91,263959,51797,125444,55894,34986,755.8,0.272725,,
12003,Baker,2016,6,11,27884,6934,9983,7311,3742,909,0.363625,,
12005,Bay,2016,52,80,183634,42963,63728,49739,30325,892.7,0.4394,,
12007,Bradford,2016,7,12,26740,5680,9422,7148,4790,851.9,0.61745,,
12009,Brevard,2016,161,245,576874,108379,165125,171560,133173,786.9,0.106075,,
12011,Broward,2016,499,717,1912583,426756,669811,529305,303913,650.4,0.5038,,
12013,Calhoun,2016,3,5,14330,3026,4979,3850,2532,961.2,0.67045,,
12015,Charlotte,2016,51,86,177671,22185,36273,49955,69087,646.1,0.208325,,
12017,Citrus,2016,48,71,142804,21330,30566,39865,51235,845.3,0.321975,,
12019,Clay,2016,55,82,207246,48426,69338,57682,30729,802.9,0.162875,,
12021,Collier,2016,69,107,365445,65902,95926,92444,112538,459.1,0.318175,,
12023,Columbia,2016,23,33,69265,16061,23103,18460,12422,885,0.67425,,
12027,DeSoto,2016,7,12,36255,7217,12679,8760,7713,594,0.75,,
12029,Dixie,2016,6,7,16465,3085,4912,4660,3850,694.8,0.443175,,
12031,Duval,2016,281,412,926010,229363,353841,238370,123545,857.2,0.424225,,
12033,Escambia,2016,87,135,311473,70641,116103,79546,50402,834.7,0.321975,,
12035,Flagler,2016,27,41,107406,18289,27085,29868,31663,881.4,0.140175,,
12037,Franklin,2016,2,3,11823,2062,4088,3204,2602,690.1,0.64395,,
12039,Gadsden,2016,12,19,46086,10585,15337,12961,7667,907.7,0.7121,,
12041,Gilchrist,2016,5,7,17622,3703,5723,4796,3491,813.9,0.5985,,
12043,Glades,2016,1,2,13406,2018,4317,3404,3546,701.4,0.60605,,
12045,Gulf,2016,3,6,16062,2516,5696,4691,3198,618.2,0.3826,,
12047,Hamilton,2016,3,5,14303,2818,5328,3845,2385,859.7,0.7841,,
12049,Hardee,2016,6,11,27219,7549,9682,6180,4204,768.5,0.8674,,
12051,Hendry,2016,9,15,40037,11455,14532,9457,5280,732.5,0.85605,,
12053,Hernando,2016,64,91,182459,33789,48630,49391,50471,799.3,0.321975,,
12055,Highlands,2016,30,48,102041,18340,24828,24022,35585,819.2,0.7159,,
12057,Hillsborough,2016,357,527,1396693,333473,530467,358818,190288,725.3,0.488675,,
12059,Holmes,2016,2,4,19398,4006,6410,5295,3774,740.9,0.5568,,
12061,Indian River,2016,39,62,151159,25498,37236,40771,47731,948.8,0.196975,,
12063,Jackson,2016,8,14,48299,9284,17272,12970,9024,657.7,0.76515,,
12065,Jefferson,2016,3,5,13960,2562,4110,4298,3082,885.1,0.530325,,
12067,Lafayette,2016,1,2,8747,1699,3560,2125,1282,914.1,0.6818,,
12069,Lake,2016,105,158,334913,66844,94512,86560,88098,814.7,0.397725,,
12071,Lee,2016,171,264,722649,135133,204176,188865,198487,723.1,0.35985,,
12073,Leon,2016,57,86,286744,56373,135234,61799,35873,593.6,0.393925,,
12075,Levy,2016,12,18,39837,8107,10935,11536,9494,678.3,0.66665,,
12077,Liberty,2016,2,2,8300,1487,3402,2235,1133,907.1,0.723475,,
12079,Madison,2016,3,6,18316,3732,6105,5077,3581,741.6,0.738625,,
12081,Manatee,2016,89,137,375373,73095,103543,101739,98881,884.1,0.44695,,
12083,Marion,2016,99,152,347469,67739,94669,88943,98612,667.2,0.409125,,
12085,Martin,2016,39,63,158325,26281,39092,45185,47664,852.8,0.0985,,
12086,Miami-Dade,2016,708,1047,2692213,588861,996529,719581,420481,628,0.833325,,
12087,Monroe,2016,17,28,76872,12753,24240,24648,16374,692,0.22725,,
12089,Nassau,2016,19,32,80055,16283,23552,23468,16947,808,0.11745,,
12091,Okaloosa,2016,44,72,200071,48699,73940,50836,30913,794.6,0.29545,,
12093,Okeechobee,2016,17,23,40769,9283,13626,10276,7942,871.3,0.84845,,
12095,Orange,2016,341,474,1326516,314608,553728,323619,149820,687.2,0.61745,,
12097,Osceola,2016,98,132,338209,85294,129205,81823,43039,686.7,0.719675,,
12099,Palm Beach,2016,392,570,1450890,289973,451467,380838,337177,597.9,0.499975,,
12101,Pasco,2016,161,229,509937,105771,153352,137796,114718,781.6,0.428025,,
12103,Pinellas,2016,298,432,959874,165273,284803,286310,228619,713.7,0.325775,,
12105,Polk,2016,203,295,665823,153710,219163,163776,133596,760,0.678025,,
12107,Putnam,2016,23,37,72373,16161,20453,20270,16052,910.8,0.844675,,
12109,St. Johns,2016,47,76,234828,50676,70321,67761,45106,653.4,0.257575,,
12111,St. Lucie,2016,99,139,305566,63107,90753,81827,71107,698,0.405325,,
12113,Santa Rosa,2016,38,62,169894,38287,58814,47302,25919,798,0.2841,,
12115,Sarasota,2016,94,152,412968,60213,93938,112793,146005,607.9,0.1932,,
12117,Seminole,2016,106,155,455945,97464,165980,125264,67497,657.6,0.54925,,
12119,Sumter,2016,32,55,122009,9286,18298,26804,68176,638,0.30305,,
12121,Suwannee,2016,12,18,43834,9438,13948,11682,9021,884.1,0.863625,,
12123,Taylor,2016,5,8,22099,4629,7651,5895,4205,983.7,0.708325,,
12125,Union,2016,4,9,15238,3043,5753,4506,2075,1497.8,0.731075,,
12127,Volusia,2016,146,217,528453,97135,159704,148873,125630,816.2,0.458325,,
12129,Wakulla,2016,7,11,31882,6864,11330,9139,4588,958.7,0.4053,,
12131,Walton,2016,13,22,65421,14396,20396,19176,12471,785.3,0.5189,,
12133,Washington,2016,5,7,24454,4944,8570,6743,4263,1079.6,0.696975,,
12001,Alachua,2017,66,91,266309,51949,126356,55696,36454,728.9,0.272725,,
12003,Baker,2017,6,10,28254,7051,10189,7347,3899,953.1,0.363625,,
12005,Bay,2017,56,82,184736,42958,63727,49954,31147,916.7,0.4394,,
12007,Bradford,2017,7,12,27142,5878,9608,7146,4854,922.6,0.61745,,
12009,Brevard,2017,164,251,587769,110205,169290,173083,136862,801.7,0.106075,,
12011,Broward,2017,494,703,1934516,431486,674405,533676,314039,638.4,0.5038,,
12013,Calhoun,2017,3,5,14428,2989,5007,3924,2580,947.5,0.67045,,
12015,Charlotte,2017,54,85,181522,22091,36688,50783,71802,678.4,0.208325,,
12017,Citrus,2017,48,73,145415,21813,31171,40087,52553,833.8,0.321975,,
12019,Clay,2017,53,82,212228,49342,70962,58808,32388,803.1,0.162875,,
12021,Collier,2017,73,110,372678,66271,96653,93794,117343,481.4,0.318175,,
12023,Columbia,2017,24,35,69999,16202,23335,18447,12879,975.7,0.67425,,
12027,DeSoto,2017,8,13,37241,7396,13106,8901,7996,765.7,0.75,,
12029,Dixie,2017,5,7,16615,3153,4978,4672,3892,1009.6,0.443175,,
12031,Duval,2017,280,412,937933,232616,357320,239959,128279,868.6,0.424225,,
12033,Escambia,2017,93,136,313249,71072,116213,79422,51942,904.6,0.321975,,
12035,Flagler,2017,27,41,109999,18381,27407,30559,33062,707,0.140175,,
12037,Franklin,2017,2,4,11724,2003,3960,3180,2703,744.5,0.64395,,
12039,Gadsden,2017,14,19,45993,10481,15152,12865,7942,746.2,0.7121,,
12041,Gilchrist,2017,5,7,17900,3792,5797,4873,3584,899,0.5985,,
12043,Glades,2017,1,2,13580,1935,4361,3485,3642,526.2,0.60605,,
12045,Gulf,2017,4,6,16105,2566,5560,4693,3341,860.3,0.3826,,
12047,Hamilton,2017,3,5,14364,2899,5300,3791,2495,996.6,0.7841,,
12049,Hardee,2017,6,10,27154,7505,9483,6135,4357,702,0.8674,,
12051,Hendry,2017,9,15,41018,11807,14750,9733,5457,731.5,0.85605,,
12053,Hernando,2017,66,94,186704,34665,50383,50334,51488,833,0.321975,,
12055,Highlands,2017,31,47,103852,18665,25253,24239,36489,773.2,0.7159,,
12057,Hillsborough,2017,361,522,1426736,338526,541650,365406,198374,716,0.488675,,
12059,Holmes,2017,2,4,19427,3985,6401,5345,3783,861.2,0.5568,,
12061,Indian River,2017,40,63,154241,25413,37636,41555,49825,614.1,0.196975,,
12063,Jackson,2017,8,14,48289,9334,17243,12742,9219,935.1,0.76515,,
12065,Jefferson,2017,3,6,14165,2620,4150,4306,3215,823.4,0.530325,,
12067,Lafayette,2017,1,2,8602,1699,3374,2098,1358,970,0.6818,,
12069,Lake,2017,111,164,345432,68331,97482,89457,91654,763.2,0.397725,,
12071,Lee,2017,172,267,740000,135683,208215,192347,207386,623,0.35985,,
12073,Leon,2017,59,91,290965,57024,137324,61851,37498,725.3,0.393925,,
12075,Levy,2017,12,18,40276,8044,11083,11499,9813,910.6,0.66665,,
12077,Liberty,2017,1,2,8236,1513,3315,2226,1187,874.1,0.723475,,
12079,Madison,2017,3,6,18474,3679,6182,5072,3695,765.3,0.738625,,
12081,Manatee,2017,94,143,385506,73688,105927,104114,103586,638.2,0.44695,,
12083,Marion,2017,104,157,353339,68787,96205,89614,101317,833.8,0.409125,,
12085,Martin,2017,42,64,159701,26395,39358,45291,48701,603,0.0985,,
12086,Miami-Dade,2017,681,1021,2713295,592208,994919,729654,431554,586,0.833325,,
12087,Monroe,2017,15,26,76483,12672,23866,24192,16831,669.4,0.22725,,
12089,Nassau,2017,21,34,82925,16805,24381,24056,17986,862.3,0.11745,,
12091,Okaloosa,2017,48,75,203478,49267,75351,51092,32012,825.9,0.29545,,
12093,Okeechobee,2017,16,23,41275,9327,13762,10543,8095,909.2,0.84845,,
12095,Orange,2017,338,476,1355921,319515,564499,330488,156966,687.1,0.61745,,
12097,Osceola,2017,98,136,353623,88944,135230,85464,45633,724.6,0.719675,,
12099,Palm Beach,2017,391,564,1470344,293176,455775,384897,346213,596.8,0.499975,,
12101,Pasco,2017,161,230,525141,109255,158381,141355,118387,784.6,0.428025,,
12103,Pinellas,2017,300,425,968341,164532,287007,287121,235113,720.3,0.325775,,
12105,Polk,2017,207,304,685368,157585,226285,167848,138326,766.1,0.678025,,
12107,Putnam,2017,24,39,73384,16620,20631,20309,16573,977,0.844675,,
12109,St. Johns,2017,46,76,243693,52201,72392,69939,48080,648.5,0.257575,,
12111,St. Lucie,2017,95,138,313163,64138,92650,83476,74332,677.6,0.405325,,
12113,Santa Rosa,2017,40,61,174049,39180,59851,48374,27319,822.5,0.2841,,
12115,Sarasota,2017,94,153,419680,60288,94497,113488,151266,600.9,0.1932,,
12117,Seminole,2017,104,150,462801,99295,168991,125443,70094,671,0.54925,,
12119,Sumter,2017,32,56,124995,9473,18403,26331,71339,620.6,0.30305,,
12121,Suwannee,2017,11,18,44124,9494,13933,11694,9211,947.1,0.863625,,
12123,Taylor,2017,5,8,21781,4595,7380,5764,4297,816.2,0.708325,,
12125,Union,2017,6,10,15448,3067,5836,4545,2172,1410.2,0.731075,,
12127,Volusia,2017,148,222,537868,98958,162421,150360,129539,858.9,0.458325,,
12129,Wakulla,2017,7,11,32050,6999,11155,9173,4815,867.7,0.4053,,
12131,Walton,2017,13,23,68021,14990,20974,19956,13183,772.6,0.5189,,
12133,Washington,2017,4,7,24546,4973,8599,6801,4294,1065.1,0.696975,,
